Object Type,Package,Procedure,SQL Object Name,Target Table,Target Column,Source Table,Source Column,Transformation
Materialized View,,,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,received_date,DIM_GRP_BUSOBJ_AUDIT_R,d_received_date_r,MAX -> NVL
Materialized View,,,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,received_date,DIM_GRP_BUSOBJ_AUDIT_R,v_claim_number_r,MAX -> NVL -> TO_DATE -> SUBSTR
Materialized View,,,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,received_date,dim_grp_claim_detail_r,D_RECEIVED_DATE_R,Direct
Materialized View,,,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,v_claim_number_r,DIM_GRP_BUSOBJ_AUDIT_R,v_claim_number_r,Direct
Materialized View,,,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,DIM_GRP_BUSOBJ_AUDIT_R_MAX_RCV_MV_SSL,v_claim_number_r,dim_grp_claim_dir_r,v_claim_number_r,Direct
Materialized View,,,DIM_GRP_CLAIM_DETAIL_R_MV,DIM_GRP_CLAIM_DETAIL_R_MV,n_claim_coverage_group_sk_r,dim_grp_claim_detail_r_vw_2,n_claim_coverage_group_sk_r,Direct
Materialized View,,,DIM_GRP_CLAIM_DETAIL_R_MV,DIM_GRP_CLAIM_DETAIL_R_MV,n_claim_coverage_sk_r,dim_grp_claim_detail_r_vw_2,n_claim_coverage_sk_r,Direct
Materialized View,,,DIM_GRP_CLAIM_DETAIL_R_MV,DIM_GRP_CLAIM_DETAIL_R_MV,n_claim_sk_r,dim_grp_claim_detail_r_vw_2,n_claim_sk_r,Direct
Materialized View,,,DIM_GRP_CLAIM_DETAIL_R_MV,DIM_GRP_CLAIM_DETAIL_R_MV,n_policy_sk_r,dim_grp_claim_detail_r_vw_2,n_policy_sk_r,Direct
Materialized View,,,DIM_GRP_CLAIM_DETAIL_R_MV,DIM_GRP_CLAIM_DETAIL_R_MV,t_event_timestamp_r_1,dim_grp_claim_detail_r_vw_2,t_event_timestamp_r_1,Direct
