RPT_TABLE,TOTAL_JOBS,COMPLETE_LINEAGE,SQL_OBJECT_IDENTIFIED,MV_REFRESH,STATIC_SQL,DIFW_FRAMEWORK,NEEDS_INVESTIGATION,UNIQUE_SQL_OBJECTS,COMPLETION_PCT
RPT_CLAIMANT_DTL_R,10,9,1,0,0,0,0,4,100.0%
RPT_CLAIM_DTL_R,213,174,2,6,0,12,12,124,91.1%
RPT_CLAIM_NOTE_R,28,12,1,0,0,12,1,12,89.3%
RPT_CLAIM_PAYMENT_DTL_R,73,42,0,2,0,18,7,27,84.9%
RPT_CLAIM_PAYMENT_R,45,39,0,2,0,0,3,21,91.1%
RPT_CLAIM_SUM_R,187,152,1,3,0,12,12,100,89.8%
RPT_CLAIM_TASK_R,33,17,1,0,0,12,1,12,90.9%
RPT_CLIENT_DTL_R,19,18,0,0,0,0,0,5,94.7%
RPT_DICS_CLAIMS_DETAIL_OAC_R,187,150,3,3,0,12,12,92,89.8%
RPT_EMPLOYEE_R,4,4,0,0,0,0,0,4,100.0%
RPT_FCT_RPT_CLAIM_SUMMARY_R,205,170,1,3,0,12,12,117,90.7%
RPT_FCT_RPT_CLAIM_SUMMARY_R_HIST,219,183,1,3,0,12,12,123,90.9%
RPT_GRP_PRODUCT_R,4,3,0,0,0,0,0,4,75.0%
RPT_POLICY_DTL_R,59,37,0,0,0,12,7,24,83.1%
