Object Type,Package,Procedure,SQL Object Name,Target Table,Target Column,Source Table,Source Column,Transformation
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,N_BATCH_ID_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,N_SK_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_CREATED_BY_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_JOB_NAME_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_LAST_MODIFIED_BY_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_NUMBER_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_PKG_PRC_NAME_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,ATOMIC.PRCS_GRP_TBL_LOAD_DEBUG_TRC,V_TRC_MSG_R,,,Constant / Expression
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,FCT_RPT_ANN_PREM_SUMMARY_R,D_CYCLE_DATE_R,FCT_RPT_ANN_PREM_SUMMARY_R_INC,D_CYCLE_DATE_R,Direct
PKG Procedure,PKG_GRP_ANN_PREM_SUMMARY_R_INC,PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,PKG_GRP_ANN_PREM_SUMMARY_R_INC_PRC_GRP_FCT_RPT_ANN_PREM_SUMMARY_R_INC,FCT_RPT_ANN_PREM_SUMMARY_R,D_DUE_DATE_R,FCT_RPT_ANN_PREM_SUMMARY_R_INC,D_DUE_DATE_R,Direct
