shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
EDP_EDW_PACS_GRP_LOAD_MERGE_UPDATE_FCT_RPT_CLAIM_SUMMARY_R.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_MERGE_UPDATE_FCT_RPT_CLAIM_SUMMARY_R,,False,,,,,This shell script merge reinsurance columns in                                                                               FCT_RPT_CLAIM_SUMMARY_R
edp_grp_daily_edw_extract.sh,SSH_REMOTE,REMOTE_SCRIPT,,rsli_group_daily_dlToEDW.sh,,True,"$1,$2,...",,,/u01/app/oracle/tools/home/oracle/bin/tidal/datalake/group/dl_edw/rsli_group_daily_dlToEDW.sh,
edp_grp_edw_extract.sh,SSH_REMOTE,REMOTE_SCRIPT,,rsli_group_dlToEDW.sh,,True,"$1,$2,...",,,/u01/app/oracle/tools/home/oracle/bin/tidal/datalake/group/dl_edw/rsli_group_dlToEDW.sh,
edp_grp_plsql_difw_job_srcsys.sh,EXECUTE_IMMEDIATE_DYNAMIC,PACKAGE,ATOMIC,$v_pkg_name_r (from TIDAL param $1),main,True,$1,,,,"This shell script load the data using package PKG_GRP_LOAD_DIFW.
Change log:"
edp_grp_plsql_difw_job_srcsys_gen_ref.sh,EXECUTE_IMMEDIATE_DYNAMIC,PACKAGE,ATOMIC,$v_pkg_name_r (from TIDAL param $1),main,True,$1,,,,"This shell script load the data using package PKG_GRP_LOAD_DIFW.
Change log:"
edp_grp_plsql_difw_job_srcsys_plsql.sh,EXECUTE_IMMEDIATE_DYNAMIC,PACKAGE,ATOMIC_PLSQL,$v_pkg_name_r (from TIDAL param $1),main,True,$1,,,,"This shell script load the data using package PKG_GRP_LOAD_DIFW.
Change log:"
edp_grp_reserve_kpi_job_scheduler.sh,NO_SQL,NO_SQL,,,,False,,,,,No recognized SQL pattern. Desc: This shell script schedules the reserve kpi job with correct dependency based on mon-fri or sat and monthend + 1. DB objects: 
edp_grp_reserve_kpi_job_scheduler_monthend.sh,NO_SQL,NO_SQL,,,,False,,,,,No recognized SQL pattern. Desc: This shell script schedules the reserve kpi job with correct dependency based on mon-fri or sat and monthend + 1. DB objects: 
edp_grp_tpa_reserve_files_Prev_month_load.sh,EXECUTE_IMMEDIATE_DYNAMIC,PACKAGE,ATOMIC,$v_pkg_name_r (from TIDAL param $1),main,True,$1,,,,"This shell script load the data using package to load TPA Reserve Files.
Change log:"
edw_control_source_to_date.sh,EXECUTE_IMMEDIATE_STATIC,PROCEDURE,ATOMIC,PRC_GRP_AUDIT_CONTROL_PROCESS,,True,"$1,$2,$3,$4",,,,
edw_cv_grp_load_fct_claim_payment_detail_r_expense_cv.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R; IN_TYPE:CV_EXPENSE,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested EXPENSE data in the FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R"
edw_edp_load_experience_rating_inc.sh,DIRECT_PKG_PROC_CALL,PACKAGE,EXT_EIS,PKG_EXPERIENCE_RATING_STATIC_INC,MAIN,False,,,,,
edw_edp_load_experience_rating_STD_inc.sh,DIRECT_PKG_PROC_CALL,PACKAGE,EXT_EIS,PKG_EXPERIENCE_RATING_STATIC_STD_INC,MAIN,False,,,,,
edw_edp_load_experience_rating_STD_inc_test.sh,UNKNOWN,UNKNOWN,,,,False,,,,,No recognized SQL pattern. Desc: . DB objects: # Created on            -       MAY/2025
edw_grp_aps_load_fct_agent_commission_summary.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_AGENT_COMMISSION_SUMMARY,PRC_GRP_LOAD_FCT_AGENT_COMMISSION_SUMMARY,False,,FCT_AGENT_COMMISSION_SUMMARY,,,
edw_grp_aps_load_fct_grp_agent_policy_r_lookup_2.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_FCT_GRP_AGENT_POLICY_R_LOOKUP,False,,FCT_GRP_AGENT_POLICY_R_LOOKUP,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure atomic.PKG_LOAD_GRP_TABLES.PRC_LOAD_FCT_GRP_AGENT_POLICY_R_LOOKUP to reload data in the  FCT_GRP_AGENT_POLICY_R_LOOKUP"
edw_grp_aps_truncate_fct_grp_agent_policy_r_lookup.sh,TRUNCATE_TABLE,TABLE,ATOMIC,FCT_GRP_AGENT_POLICY_R_LOOKUP,TRUNCATE,False,,,,,This shell script truncates the table FCT_GRP_AGENT_POLICY_R_LOOKUP
edw_grp_aps_upd_fct_grp_agent_policy_r.sh,UPDATE_TABLE,TABLE,ATOMIC,FCT_GRP_AGENT_POLICY_R,UPDATE,False,,,,,This shell script performs the below steps Updates Column N_POLICY_SK_R in FCT_GRP_AGENT_POLICY_R after completion of APS cycle
edw_grp_claim_summary_incr.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_HPC_5,PRC_GRP_LOAD_CLAIM_SUMMARY_DATA,False,,FCT_RPT_CLAIM_SUMMARY_R_TEST10,,,This shell script truncates and reloads the table claim_activity_date_mv_tbl
edw_grp_claim_summary_intermediate_mv.sh,MV_REFRESH,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh CLAIM_SUMMARY_INTERMEDIATE_MV
edw_grp_create_bkp_dim_tables.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRCS_CREATE_DIM_BKP_TABLES,,False,,FCT_RPT_EOI_HISTORY_R,,,This shell script drop dim bkp tables and creates bkp tables using actual dim  tables
edw_grp_create_bkp_fct_tables.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRCS_CREATE_FCT_BKP_TABLES,,False,,FCT_RPT_EOI_HISTORY_R,,,This shell script fct drop bkp tables and creates fct bkp tables using fct actual tables
edw_grp_create_bkp_stg_ref_tables.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRCS_CREATE_STG_REF_MV_BKP_TABLES,,False,,FCT_RPT_EOI_HISTORY_R,,,This shell script drop stg_ref bkp tables and creates bkp tables using actual dim  tables
edw_grp_create_bkp_tables.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRCS_CREATEBKP_TABLES,,False,,FCT_RPT_EOI_HISTORY_R,,,This shell script drop bkp tables and creates bkp tables using actual tables
edw_grp_delete_load_reinsurer_prem_pct_ltd_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_PREM_PCT_R_LTD,,False,,STG_GRP_REINSURER_PREM_PCT_R,,,"This shell script deletes and reloads the table STG_GRP_REINSURER_PREM_PCT_R
Change log:"
edw_grp_delete_load_reinsurer_prem_pct_non_ltd_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_STG_REINSURER_PREM_PCT_R_NON_LTD,,False,,STG_GRP_REINSURER_PREM_PCT_R,,,"This shell script deletes and reloads the table STG_GRP_REINSURER_PREM_PCT_R
Change log:"
edw_grp_dim_claim_prior_status_r_daily_activity.sh,STATIC_SQL,INSERT_SELECT,,DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY,,False,,DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY_VW,"INSERT /*+APPEND*/ INTO DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY
SELECT * FROM DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY_VW;",,INSERT INTO DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY SELECT FROM DIM_GRP_CLAIM_PRIOR_STATUS_R_DAILY_ACTIVITY_VW
edw_grp_dim_employee_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_DIM_EMPLOYEE_R,False,,DIM_EMPLOYEE_R,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure atomic.PKG_LOAD_GRP_TABLES.PRC_LOAD_DIM_EMPLOYEE_R to reload data in the DIM_EMPLOYEE_R"
edw_grp_gather_tbl_idx_stats.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_GATHER_TABLE_IDX_STATS,,False,,,,,This shell script calls procedure to gather given table stats along with the corresponding indexes stats.
edw_grp_load_adhoc_prc_exe_daily.sh,EXECUTE_IMMEDIATE_DYNAMIC,PROCEDURE,ATOMIC,$v_prc_name_r (from TIDAL param $1),,True,$1,,,,This shell script load the data using adhoc procedure for Reserve Fields.
edw_grp_load_adhoc_prc_exe_monthend.sh,EXECUTE_IMMEDIATE_DYNAMIC,PROCEDURE,ATOMIC,$v_prc_name_r (from TIDAL param $1),,True,$1,,,,This shell script load the data using adhoc procedure to load TPA Reserve Files.
edw_grp_load_bill_group_master_r_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_BILL_GROUP_MASTER_R,,False,,BILL_GROUP_MASTER_R,,,"This shell script loads data into BILL_GROUP_MASTER_R
Change log:"
edw_grp_load_bill_group_master_r_tmp.sh,NO_SQL,NO_SQL,,,,False,,,,,No recognized SQL pattern. Desc: . DB objects: 
edw_grp_load_claim_summary_intermediate_mv_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_LOAD_CLAIM_SUMMARY_INTERMEDIATE_MV_TBL,,False,,,,,This shell script truncates and reloads the tables related to CLAIM_SUMMARY_INTERMEDIATE_MV_TBL
edw_grp_load_dim_grp_billing_pol_billgrp_r_mgis_tbl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_LOAD_DIM_GRP_BILLING_POL_BILLGRP_R_MGIS,,False,,DIM_GRP_BILLING_POL_BILLGRP_R,,,This shell script loads  data into DIM_GRP_BILLING_POL_BILLGRP_R
edw_grp_load_dim_load_time_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_DIM_TIME_R,False,,DIM_TIME_R,,,"This shell script performs the below steps after accepting the batchid,loadrunid,newyear as a parameter: a) Calls procedure atomic.PKG_LOAD_GRP_TABLES.PRC_LOAD_DIM_TIME_R to reload data in the DIM_TIME_R"
edw_grp_load_dq_check.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_DQ_CHECK,PRC_RUN_DQ_CHECKS,False,,,,,This shell script calls the package PKG_GRP_DQ_CHECK.
